CCLE Cell Line Name,Primary Cell Line Name,Compound,Target,Doses (uM),Activity Data (median),Activity SD,Num Data,FitType,EC50 (uM),IC50 (uM),Amax,ActArea
HMC18_BREAST,HMC-1-8,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","-3.6,.25,-.66,4.06,-1.0,9.37,15.0,13.4","3.22,2.92,3.40,5.11,4.58,1.52,8.48,2.14",8,Constant,NA,8,2.112740755,0.1051
HS578T_BREAST,Hs 578T,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","3.42,4.66,-.20,.39,7.48,-.53,-3.4,-50","4.43,.90,5.62,13.0,3.99,8.49,.33,.84",8,Sigmoid,6.606109619,7.945315361,-50.35259247,0.4801
HS739T_BREAST,Hs 739.T,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","-14,.83,-6.2,-13,-9.9,-16,-29,-23","8.67,3.62,2.31,5.77,12.4,10.9,9.94,10.5",8,Constant,NA,8,-13.01901627,1.6143
MB157_BREAST,MB 157,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","7.26,33.1,15.4,2.11,15.1,-21,-46,-52","61.8,15.6,16.0,.93,19.1,9.79,.91,7.78",8,Sigmoid,0.495358765,5.79603529,-53.99496841,1.3304
MCF7_BREAST,MCF7,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","29.2,17.2,20.0,43.5,-.93,8.75,-20,-7.5","30.5,32.9,30.3,1.15,20.4,5.29,30.1,16.5",8,Constant,NA,8,7.028293133,0.03456
MDAMB157_BREAST,MDA-MB-157,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","7.33,15.1,9.57,21.3,-4.7,-3.1,-21,-3.9","4.10,6.42,3.11,18.4,8.34,8.02,.63,17.3",8,Sigmoid,0.212595552,8,-11.13424301,0.5788
MDAMB175VII_BREAST,MDA-MB-175-VII,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8",".34,20.2,-27,29.8,-14,10.2,-55,-85","4.72,11.6,1.99,20.2,11.5,7.02,4.48,.35",8,Sigmoid,2.217795849,2.408272505,-85.54084015,1.7853
MDAMB415_BREAST,MDA-MB-415,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","-5.2,17.2,-3.8,16.6,-18,13.6,-31,-48","22.3,53.5,16.9,22.2,18.7,26.9,8.36,6.22",8,Constant,NA,8,-10.07636166,0.699
MDAMB436_BREAST,MDA-MB-436,AZD0530,ABL,".0080,.025,.080,.25,.80,2.53,8","4.45,.42,-16,1.31,-18,-16,-16","7.41,17.1,6.08,.032,.42,8.62,6.83",7,Constant,NA,8,-11.30215836,0.6943
MDAMB453_BREAST,MDA-MB-453,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","11.6,10.4,7.96,23.7,4.72,19.8,2.31,-26","17.9,9.76,20.5,19.3,3.05,12.0,15.2,2.21",8,Sigmoid,3.103794813,8,-25.55487061,0.1335
MDAMB468_BREAST,MDA-MB-468,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","6.52,-24,14.5,-25,-2.8,-.35,-21,-51","11.5,2.51,23.2,10.2,4.22,22.4,4.08,.85",8,Sigmoid,8.319108428,7.844894409,-50.88651276,1.016
SKBR3_BREAST,SK-BR-3,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","16.8,-19,8.48,2.89,6.96,1.29,12.8,-39","15.7,4.52,39.6,3.96,7.24,8.21,.25,7.37",8,Linear,NA,8,-37.49472809,0.4847
